id,image,object_id,tipo,coord
1,G_US126.png,PUG-INS-0004,foto,"[[1340, 1345.81], [1867, 952.81], [2569, 973.81], [2630, 921.81], [3023, 901.81], [2812, 207.81], [242, 209.81], [56, 646.81], [164, 762.81]]"
2,G_US126_apografo.png,PUG-INS-0004,apografo,"[[1883, 2042.81], [2528, 1540.81], [3420, 1576.81], [3491, 1519.81], [3999, 1492.81], [3726, 621.81], [515, 600.81], [267, 1158.81], [419, 1307.81]]"
